Clave,Id,Producto,Precio,PrecioIVA,ClaveProdServ,Detalles,Indicaciones,TiempoEntrega,Duracion,Descripcion
LABCITLIQAS,960,LAB CITOQUIMICO DE LIQUIDO DE ASCITIS,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABCITLIQPE,962,LAB CITOQUIMICO DE LIQUIDO PERITONEAL,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABCITLIQSI,957,LAB CITOQUIMICO DE LIQUIDO SINOVIAL,543.10,630.00,85121800 - Laboratorios médicos,,,,,
LABCITLIQPL,961,LAB CITOQUIMICO EN LIQUIDO PLEURAL,586.21,680.00,85121800 - Laboratorios médicos,,,,,
LABCKCRKI,182,LAB CK CREATIN KINASA,86.21,100.00,85121800 - Laboratorios médicos,,,,,
LABCKMB,183,LAB CKMB,189.66,220.01,85121800 - Laboratorios médicos,,,,,
LABCLOORIAZ,972,LAB CLORO EN ORINA AL AZAR,185.34,214.99,85121800 - Laboratorios médicos,,,,,
LABCLOR24HR,970,LAB CLORO EN ORINA DE 24 HRS,317.24,368.00,85121800 - Laboratorios médicos,,,,,
LABCOBRE,184,LAB COBRE,1176.72,1365.00,85121800 - Laboratorios médicos,,,,,
LABCOCA,185,LAB COCAINA,108.62,126.00,85121800 - Laboratorios médicos,,,,,
LABCOL,186,LAB COLESTEROL,76.94,89.25,85121800 - Laboratorios médicos,,,,,
LABCOLINEST,187,LAB COLINESTERASA,814.66,945.01,85121800 - Laboratorios médicos,,,,,
LABCOLERI,188,LAB COLINESTERASA ERITROCITARIA,860.34,998.00,85121800 - Laboratorios médicos,,,,,
LABCO3,189,LAB COMPLEMENTO 3,271.55,315.00,85121800 - Laboratorios médicos,,,,,
LABCO4,190,LAB COMPLEMENTO 4,452.59,525.00,85121800 - Laboratorios médicos,,,,,
LABSIFI,191,LAB CONFIRMAT. SIFILIS,407.33,472.50,85121800 - Laboratorios médicos,,,,,
LABCOOMBSD,196,LAB COOMBS DIRECTO,135.78,157.50,85121800 - Laboratorios médicos,,,,,
LABCOOMBSI,197,LAB COOMBS INDIRECTO,153.88,178.50,85121800 - Laboratorios médicos,,,,,
LABCOPAUT,926,LAB COPROCULTIVO AUTOMATIZADO,1034.48,1200.00,85121800 - Laboratorios médicos,,,,,
LABCOPROLO,198,LAB COPROLOGICO,344.83,400.00,85121800 - Laboratorios médicos,,,,,
LABCOPX3MUE,958,LAB COPROLOGICO X 3 MUESTRAS,806.03,934.99,85121800 - Laboratorios médicos,,,,,
LABCOPRO1,199,LAB COPROPARASITOSCOPICO 1 MUESTRA,86.21,100.00,85121800 - Laboratorios médicos,,,,,
LABCOPRO2,200,LAB COPROPARASITOSCOPICO 2 MUESTRAS,135.78,157.50,85121800 - Laboratorios médicos,,,,,
